최종순위,채널ID,채널명,대표상위세그먼트,대표하위세그먼트,채널구독자수,최근영상조회수평균,최근영상참여율평균,성장성점수_proxy,성장성신뢰도,성장성신뢰도등급,채널력점수,성장성점수,팬밀도점수,라이브친화점수,실전성점수,최종점수,액션버킷,성장성점수_raw,최종점수분위,채널력점수분위,성장성점수분위,팬밀도점수분위,라이브친화점수분위,실전성점수분위,shortlist_선정여부,shortlist_유형,운영우선순위,추천사유,주의사유,자동판정근거,순위변동,운영우선순위변동,최종점수변동,성장성점수변동,팬밀도점수변동,실전성점수변동,신규진입여부,액션버킷변동여부,shortlist_신규선정여부,shortlist_유지여부,shortlist_이탈여부,변동방향,변화요약
1,UCrOAVNbR8vAAo7SZUfkVjhQ,오토 레이니,,커버기타,73200.0,22026.2,0.0742193739387878,0.6194850498727085,1.0,높음,0.8321004319654428,0.6194850498727085,0.9087473002159828,0.91569022817658,0.99272,0.8155694492707591,즉시검토,0.6194850498727085,1.0,0.9379049676025918,0.8747300215982722,0.9087473002159828,0.9505939524838012,0.7313714902807775,True,즉시검토형,1,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.816, 채널력=0.832, 성장성=0.619, 팬밀도=0.909, 라이브=0.916, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
2,UC3kYy4y56E1A1VmkmfftBUw,흑우수달,,서브컬쳐게임,35100.0,9298.2,0.105208493353299,0.7891525213041436,1.0,높음,0.6720032397408208,0.7891525213041436,0.958963282937365,0.5220367130777139,0.99272,0.7798544479160182,즉시검토,0.7891525213041436,0.9994600431965442,0.7904967602591793,0.984341252699784,0.958963282937365,0.7796976241900648,0.7313714902807775,True,즉시검토형,2,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.780, 채널력=0.672, 성장성=0.789, 팬밀도=0.959, 라이브=0.522, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
3,UCzmaoc4-YtFeYz4NQbyF9mg,슬라임네 십덕방,,서브컬쳐게임,1460.0,6403.7,0.0604104217273841,0.7793872091479793,1.0,높음,0.510718142548596,0.7793872091479793,0.8525917926565875,0.8571105935141425,0.99272,0.768496793333696,즉시검토,0.7793872091479793,0.9989200863930886,0.5391468682505399,0.9827213822894167,0.8525917926565875,0.9006479481641468,0.7313714902807775,True,즉시검토형,3,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.768, 채널력=0.511, 성장성=0.779, 팬밀도=0.853, 라이브=0.857, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
4,UCYcb6BrBDHsFW0jtDu26yYg,노래짱 비쥬,,음악기타,98400.0,54588.2,0.0404915209559673,0.6043050327863795,1.0,높음,0.8866900647948163,0.6043050327863795,0.703023758099352,0.8460404828130355,0.99272,0.7676221226388587,즉시검토,0.6043050327863795,0.9983801295896328,0.9719222462203024,0.8531317494600432,0.703023758099352,0.8890388768898488,0.7313714902807775,True,즉시검토형,4,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.768, 채널력=0.887, 성장성=0.604, 팬밀도=0.703, 라이브=0.846, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
5,UC7xoX101Wne0VDqzA_9Tg6g,썰허브,버츄얼 퍼포먼스형,버튜버,35900.0,4308.2,0.0513887910299946,0.7522452414359049,1.0,높음,0.5379589632829374,0.7522452414359049,0.800755939524838,0.8506530289384968,1.0,0.7627439005605385,즉시검토,0.7522452414359049,0.9978401727861772,0.591792656587473,0.9757019438444924,0.800755939524838,0.8957883369330454,0.8890388768898488,True,즉시검토형,5,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.763, 채널력=0.538, 성장성=0.752, 팬밀도=0.801, 라이브=0.851, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
6,UCZBZhgVjq0OEPb34SEsLi6g,하나츠,음악·보이스형,성우더빙,16600.0,6226.3,0.044304981301685,0.6390623546156381,1.0,높음,0.71085313174946,0.6390623546156381,0.7375809935205183,0.8999965131940736,1.0,0.762592443830885,즉시검토,0.6390623546156381,0.9973002159827212,0.8358531317494601,0.9055075593952484,0.7375809935205183,0.9400647948164148,0.8890388768898488,True,즉시검토형,6,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.763, 채널력=0.711, 성장성=0.639, 팬밀도=0.738, 라이브=0.900, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
7,UCOgJrwmNBq_gUcF9unLLJuw,라빈 라비린스,창작·비주얼형,코스프레,8480.0,22145.6,0.0648821894391336,0.4853739840839624,0.75,보통,0.7553995680345572,0.4890304880629718,0.8736501079913607,0.8689187115953233,1.0,0.7556572721226326,즉시검토,0.4853739840839624,0.9967602591792656,0.8790496760259179,0.3331533477321814,0.8736501079913607,0.9235961123110152,0.8890388768898488,True,즉시검토형,7,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.756, 채널력=0.755, 성장성=0.489, 팬밀도=0.874, 라이브=0.869, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
8,UCCXeZkv4-v2TlH_J49I_icw,휴복,,커버기타,191000.0,15137.9,0.0776378757800312,0.5,0.0,미산출,0.7398758099352052,0.5,0.9173866090712745,0.8255939524838013,0.97704,0.7324920250539958,성장관찰,0.5,0.99622030237581,0.8606911447084233,0.521598272138229,0.9173866090712745,0.8760799136069114,0.375,True,성장관찰형,134,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권,상위 세그먼트 불명확 / 성장성 신뢰도 낮음,"최종=0.732, 채널력=0.740, 성장성=0.500, 팬밀도=0.917, 라이브=0.826, 실전성=0.977, 운영제외리스크=0.000, 검증필요리스크=0.287, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
9,UCZiYhlLDJTT6CqJcHRP34ZA,호쿰이 Ho_kumee,음악·보이스형,성우더빙,48600.0,27667.3,0.0426237675192533,0.6904390160457438,1.0,높음,0.8371760259179265,0.6904390160457438,0.7235421166306696,0.4197304400149833,1.0,0.7296404818557469,즉시검토,0.6904390160457438,0.9956803455723542,0.9395248380129588,0.9470842332613392,0.7235421166306696,0.5013498920086393,0.8890388768898488,True,즉시검토형,8,최종점수 상위 10% / 성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.730, 채널력=0.837, 성장성=0.690, 팬밀도=0.724, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
10,UC_LI11UMIziSEk64Lg8MLDw,정치유감,버츄얼 퍼포먼스형,버튜버,283000.0,24191.0,0.1441914840250991,0.48069762027344,0.375,낮음,0.6995140388768899,0.49276160760254,0.9800215982721382,0.6797428032325679,0.99104,0.7293077107863827,성장관찰,0.48069762027344,0.9951403887688984,0.822354211663067,0.3509719222462203,0.9800215982721382,0.8185745140388769,0.6268898488120951,True,성장관찰형,135,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권,주요 자동 리스크 낮음,"최종=0.729, 채널력=0.700, 성장성=0.493, 팬밀도=0.980, 라이브=0.680, 실전성=0.991, 운영제외리스크=0.000, 검증필요리스크=0.112, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
